Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
30,14.4 22.8 18.3,88.7,0.0 0.0 0.0,5.4
31,,,,
Total:,,,131.4 141.3 272.7,114.2
Promedio:,15.0 23.4 18.0,83.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Diciembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.0 25.0 18.8,84.7,1.7 0.1 1.8,7.7
2,16.8 23.0 18.4,82.7,0.4 0.1 0.5,3.8
3,16.6 23.4 18.8,83.0,0.8 0.0 0.8,3.8
4,13.8 23.8 18.9,83.3,0.0 0.0 0.0,4.3
5,16.8 24.8 19.2,81.0,0.6 0.0 0.6,5.0
6,15.4 24.0 19.2,85.7,0.6 35.2 35.8,3.7
7,14.8 21.6 17.6,87.3,6.6 0.2 6.8,0.0
8,14.4 23.2 15.8,95.0,17.1 0.0 17.1,1.0
9,15.0 22.6 17.5,87.7,15.4 1.5 16.9,1.3
10,14.8 24.4 18.8,77.3,0.0 2.0 2.0,6.5
11,15.7 24.0 18.1,82.3,3.6 0.6 4.2,7.4
12,15.0 21.0 16.5,90.7,35.0 0.7 35.7,0.5
13,14.6 22.4 17.5,85.0,1.9 2.4 4.3,3.7
14,15.2 22.0 17.8,87.0,0.0 4.5 4.5,3.2
15,14.4 24.4 18.3,82.3,2.3 0.9 3.2,7.3
16,16.0 24.0 18.2,83.7,7.3 0.4 7.7,5.2
17,15.6 24.8 18.4,82.0,1.9 0.2 2.1,6.8
18,16.8 23.8 19.2,83.0,0.0 15.1 15.1,7.2
19,14.8 24.4 17.3,87.3,4.6 1.5 6.1,7.7
20,15.4 20.8 16.8,90.7,12.8 8.8 21.6,0.9
21,15.2 22.4 18.4,84.7,0.4 7.7 8.1,2.6
22,14.8 22.6 18.4,84.7,0.0 0.0 0.0,3.5
23,15.0 22.6 18.3,90.0,0.0 0.0 0.0,2.2
24,15.8 24.0 19.3,80.7,2.0 5.0 7.0,7.3
25,16.0 23.0 19.0,81.3,0.0 35.7 35.7,6.1
26,15.0 23.6 18.2,81.7,0.0 15.2 15.2,6.8
27,15.4 22.6 18.0,82.7,1.5 0.3 1.8,4.2
28,15.6 22.2 19.0,88.7,0.0 0.0 0.0,2.6
29,13.6 25.6 19.7,73.7,0.0 0.0 0.0,9.6
30,13.6 25.6 20.4,72.3,0.0 0.0 0.0,9.4
31,16.6 24.2 19.6,82.7,0.0 0.0 0.0,6.1
Total:,,,116.5 138.1 254.6,147.4
Promedio:,15.3 23.4 18.4,84.0,,
Estacion:, La Trinidad,Dpto: Cauca,Latitud  :,2°,45',N
Año:, 2006,Mpio: Piendamó,Longitud:,76°,35',W
"",,Altitud:,1671,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,14.5 25.6 19.0,76.7,0.0 0.0 0.0,0.0
2,15.4 23.6 17.2,85.7,1.8 12.6 14.4,3.6
3,15.0 22.6 17.2,87.7,5.7 2.8 8.5,0.9
4,14.6 20.0 16.4,92.0,26.5 13.2 39.7,0.4
5,14.2 23.2 17.4,86.7,0.2 0.0 0.2,1.1
6,14.6 22.0 17.1,85.0,17.9 1.7 19.6,0.1
7,14.4 21.7 17.7,90.0,0.0 28.0 28.0,0.5
8,15.0 22.7 18.6,87.7,0.8 0.0 0.8,1.8
9,14.6 24.8 19.8,79.7,0.0 0.0 0.0,6.4
10,14.4 25.0 18.6,84.0,0.0 19.1 19.1,4.0
11,16.5 24.0 18.6,89.0,0.0 0.0 0.0,2.5
12,16.4 22.4 18.8,91.3,0.0 0.0 0.0,0.6
13,14.0 26.6 20.8,74.7,0.0 0.0 0.0,10.0
14,15.0 26.4 18.2,76.7,59.5 1.7 61.2,6.3
15,15.6 21.0 17.5,91.3,0.3 22.3 22.6,0.1
16,15.2 23.4 18.2,87.7,4.3 0.1 4.4,1.5
17,14.8 23.0 18.6,90.0,0.0 0.0 0.0,3.8
18,16.4 22.3 18.6,88.7,0.0 43.4 43.4,1.5
19,15.2 23.6 18.5,90.3,0.1 13.3 13.4,3.6
20,15.4 24.0 18.5,85.0,0.0 0.0 0.0,3.0
21,15.2 25.2 19.7,80.0,0.2 0.0 0.2,3.8
22,14.2 24.6 19.8,80.3,0.0 0.0 0.0,6.7
23,16.6 25.2 20.2,79.7,0.0 0.0 0.0,3.5
24,16.2 23.2 19.2,87.7,3.5 0.0 3.5,4.8
25,15.2 26.2 20.8,78.0,0.0 0.0 0.0,8.7
26,17.0 27.0 21.8,78.3,0.0 0.0 0.0,6.2
27,16.0 24.5 19.7,89.0,7.9 0.7 8.6,0.0
28,16.2 24.4 19.8,88.7,0.5 0.0 0.5,4.3
29,16.4 23.6 18.7,86.0,1.0 0.0 1.0,3.1
30,15.1 25.0 20.1,81.0,0.0 0.0 0.0,4.4
31,15.8 22.4 17.5,97.3,8.9 0.0 8.9,1.1
Total:,,,139.1 158.9 298.0,98.3
Promedio:,15.3 23.8 18.8,85.4,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Febrero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.2 23.8 18.8,86.7,7.5 0.0 7.5,3.1
2,16.0 22.0 18.0,93.7,6.0 0.0 6.0,0.2
3,15.2 23.0 18.4,92.0,0.1 0.9 1.0,1.9
4,17.0 20.4 18.0,92.3,3.0 6.3 9.3,0.0
5,15.8 19.3 16.5,97.0,10.6 0.0 10.6,0.0
6,15.2 24.5 19.2,88.0,7.5 13.1 20.6,1.8
7,16.6 24.6 19.6,78.7,0.0 0.0 0.0,3.7
8,15.8 25.0 19.6,83.7,0.0 44.7 44.7,4.4
9,16.6 25.2 19.7,86.0,13.4 0.0 13.4,3.1
10,16.0 26.0 20.2,80.3,14.9 0.0 14.9,5.4
11,14.8 27.6 19.6,81.3,4.3 0.0 4.3,6.1
12,16.0 25.0 19.8,86.0,0.9 0.8 1.7,6.0
13,16.8 24.6 19.2,84.7,2.1 0.0 2.1,2.3
14,16.6 26.4 19.4,82.3,1.5 0.0 1.5,5.5
15,14.0 27.4 18.5,79.3,4.7 0.0 4.7,8.2
16,13.6 26.6 21.0,66.3,0.0 0.0 0.0,8.7
17,14.7 26.0 20.1,81.7,1.3 16.2 17.5,7.1
18,15.3 25.8 19.1,80.3,0.0 0.0 0.0,7.0
19,15.2 25.6 20.6,76.3,0.0 0.1 0.1,3.1
20,15.6 23.4 18.6,89.7,0.3 0.0 0.3,0.8
21,14.8 24.6 18.4,81.7,0.0 0.0 0.0,7.0
22,14.6 25.8 19.5,82.7,0.0 0.0 0.0,4.0
23,14.4 26.4 20.7,71.0,0.0 0.0 0.0,9.9
24,15.2 25.6 19.6,80.3,0.0 0.0 0.0,4.4
25,16.2 24.2 18.8,89.0,0.6 0.0 0.6,1.7
26,17.0 23.2 19.0,89.0,1.5 0.5 2.0,1.8
27,16.0 22.2 18.0,90.3,0.9 0.0 0.9,1.0
28,15.8 27.0 20.2,80.7,0.3 0.0 0.3,3.6
29,,,,
30,,,,
31,,,,
Total:,,,81.4 82.6 164.0,111.8
Promedio:,15.6 24.7 19.2,84.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Marzo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.0 27.0 21.4,72.7,0.0 29.7 29.7,7.2
2,13.4 26.2 20.6,73.0,0.0 0.0 0.0,10.1
3,16.0 25.8 20.0,80.0,0.0 0.0 0.0,5.7
4,16.5 25.3 20.4,79.3,0.0 0.0 0.0,0.5
5,15.8 26.2 19.0,86.3,3.2 0.0 3.2,5.0
6,16.4 25.0 18.8,85.3,1.4 0.0 1.4,2.4
7,15.8 21.8 18.0,93.3,0.1 10.0 10.1,1.2
8,15.6 23.2 19.0,81.0,0.0 8.9 8.9,1.1
9,15.4 24.0 18.2,85.7,4.2 1.5 5.7,2.6
10,15.8 23.3 18.2,84.3,0.5 0.0 0.5,1.7
11,15.2 24.2 18.0,84.7,1.5 0.1 1.6,1.1
12,14.8 24.4 17.4,89.3,12.9 0.7 13.6,3.2
13,15.0 25.2 18.3,81.0,0.1 3.4 3.5,4.4
14,16.2 26.4 18.2,83.0,33.7 6.0 39.7,4.2
15,15.4 24.4 18.6,85.0,0.0 1.2 1.2,1.8
16,16.0 23.5 19.2,84.0,0.0 0.0 0.0,0.4
17,15.0 22.7 17.0,93.3,4.7 0.0 4.7,2.7
18,15.8 22.0 18.5,85.3,0.0 0.0 0.0,2.1
19,15.4 23.4 17.7,89.3,0.1 22.0 22.1,5.2
20,15.7 24.6 18.4,83.7,1.3 0.0 1.3,4.5
21,15.6 23.4 19.2,83.7,0.0 29.5 29.5,1.7
22,16.2 22.0 18.0,90.3,6.6 0.3 6.9,0.2
23,15.4 24.0 19.6,80.3,0.0 1.4 1.4,3.4
24,15.6 17.8 16.7,94.0,4.3 0.0 4.3,0.2
25,15.2 22.6 17.5,88.7,0.9 0.2 1.1,2.6
26,14.6 25.0 18.4,81.0,10.4 0.0 10.4,1.0
27,15.7 24.8 18.0,96.0,0.9 0.0 0.9,3.2
28,14.8 26.0 19.8,81.7,0.0 0.0 0.0,3.8
29,14.2 27.6 22.0,66.3,0.0 0.0 0.0,7.9
30,16.2 24.5 19.3,82.7,22.4 0.0 22.4,2.9
31,15.1 24.4 19.4,82.3,29.2 2.3 31.5,3.6
Total:,,,138.4 117.2 255.6,97.6
Promedio:,15.4 24.2 18.8,84.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.8 24.8 19.0,82.3,2.9 0.0 2.9,3.5
2,16.0 22.2 18.1,91.7,8.5 0.0 8.5,0.9
3,16.1 24.6 20.2,82.0,19.8 0.0 19.8,4.3
4,16.4 21.0 17.9,85.7,2.6 31.3 33.9,0.7
5,15.0 23.0 18.0,84.0,1.4 2.0 3.4,3.2
6,15.2 27.0 17.8,82.7,13.9 0.8 14.7,4.4
7,15.8 22.9 18.3,89.3,1.6 0.8 2.4,1.3
8,15.4 26.6 20.0,80.0,0.0 0.1 0.1,4.2
9,16.6 25.4 19.0,86.7,0.5 0.0 0.5,3.8
10,14.6 26.4 19.6,76.3,0.0 0.0 0.0,4.4
11,15.4 25.4 18.9,80.7,2.5 25.0 27.5,3.7
12,15.0 23.1 16.8,82.3,3.7 2.6 6.3,4.4
13,14.2 22.3 17.0,95.7,13.2 5.4 18.6,2.6
14,15.2 22.8 17.4,82.0,13.7 2.6 16.3,3.3
15,14.0 25.4 19.6,73.7,0.0 0.0 0.0,6.5
16,13.8 25.2 19.7,78.0,0.0 0.0 0.0,7.2
17,15.7 22.6 18.3,87.3,27.5 0.0 27.5,3.2
18,15.6 24.4 18.8,89.0,0.0 0.0 0.0,4.5
19,15.8 26.2 20.2,79.0,0.0 0.0 0.0,4.9
20,15.4 26.4 18.5,84.3,10.9 0.0 10.9,6.3
21,15.2 26.8 20.6,84.0,0.7 0.0 0.7,7.9
22,16.4 29.0 22.0,70.3,0.0 0.0 0.0,8.9
23,15.4 26.1 19.0,87.0,43.3 0.1 43.4,1.6
24,16.8 23.2 20.0,86.7,11.8 18.4 30.2,2.8
25,16.2 24.0 19.0,87.0,0.7 2.1 2.8,1.5
26,16.0 21.2 17.5,94.0,1.2 1.0 2.2,0.8
27,15.4 20.0 17.2,92.0,0.5 0.0 0.5,0.8
28,14.2 25.4 19.7,80.0,0.0 3.6 3.6,7.0
29,16.3 23.8 18.8,90.0,18.4 13.0 31.4,1.6
30,16.4 23.0 18.1,90.3,6.5 0.4 6.9,1.1
31,,,,
Total:,,,205.8 109.2 315.0,111.3
Promedio:,15.5 24.3 18.8,84.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.8 25.0 19.2,82.7,0.0 0.0 0.0,5.7
2,15.4 23.0 18.0,96.0,2.0 0.0 2.0,1.5
3,16.0 24.5 19.4,88.0,14.2 0.0 14.2,3.6
4,16.4 25.2 19.4,85.0,5.0 56.0 61.0,4.4
5,15.2 23.8 18.0,85.0,19.9 0.6 20.5,0.3
6,15.5 23.5 17.9,90.0,1.2 0.0 1.2,3.5
7,15.4 22.7 18.3,96.3,9.0 8.5 17.5,1.4
8,16.0 21.6 17.8,95.3,4.5 0.3 4.8,1.8
9,16.2 20.0 17.4,93.7,0.0 0.0 0.0,1.3
10,14.6 24.2 18.0,82.0,0.3 0.0 0.3,4.8
11,16.0 24.8 19.0,80.7,13.9 0.0 13.9,2.4
12,15.6 25.2 19.2,81.3,0.2 0.0 0.2,5.6
13,14.0 26.4 21.2,69.0,0.6 0.0 0.6,8.7
14,13.8 27.5 21.1,65.0,0.0 0.0 0.0,10.6
15,14.0 26.8 20.4,67.3,0.0 0.0 0.0,8.0
16,15.4 25.6 18.8,87.0,2.2 0.5 2.7,4.8
17,16.0 22.6 19.2,82.0,0.0 0.0 0.0,2.1
18,15.6 25.4 19.4,84.3,2.2 1.8 4.0,5.8
19,15.8 19.5 17.2,94.7,0.0 0.0 0.0,0.0
20,13.0 26.4 19.8,78.0,0.0 6.5 6.5,4.5
21,15.5 26.2 18.3,83.3,41.0 0.0 41.0,6.1
22,15.0 24.2 19.2,83.7,0.0 0.0 0.0,4.5
23,13.8 27.0 20.5,67.0,0.0 0.0 0.0,9.0
24,16.0 24.8 20.0,84.3,0.0 6.6 6.6,3.9
25,16.8 26.8 19.4,81.3,19.0 0.0 19.0,5.1
26,16.0 25.6 19.6,84.3,8.1 0.0 8.1,5.7
27,15.2 25.0 19.8,83.3,0.0 0.0 0.0,6.0
28,16.4 25.8 20.7,79.3,0.3 0.1 0.4,5.3
29,16.6 23.2 18.6,89.3,0.0 0.0 0.0,1.6
30,15.0 25.2 20.5,82.0,0.0 1.3 1.3,9.5
31,16.1 24.6 20.5,87.7,12.3 0.0 12.3,0.0
Total:,,,155.9 82.2 238.1,137.5
Promedio:,15.4 24.6 19.2,83.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.6 22.3 18.3,89.3,8.0 0.0 8.0,0.6
2,15.5 23.0 18.0,91.3,0.4 0.0 0.4,1.7
3,15.0 23.2 18.8,87.0,0.0 0.0 0.0,3.2
4,15.4 22.2 17.1,90.3,12.9 0.2 13.1,0.2
5,14.6 23.0 18.4,84.3,0.0 1.6 1.6,1.0
6,15.4 21.3 17.6,90.3,0.0 9.5 9.5,1.1
7,15.8 19.8 16.8,95.7,8.7 0.0 8.7,0.1
8,15.5 22.2 17.4,89.3,0.0 14.0 14.0,2.2
9,15.0 21.6 17.3,85.3,1.0 0.0 1.0,0.4
10,14.8 22.0 17.2,90.7,2.8 0.0 2.8,4.7
11,13.8 23.0 17.9,80.7,0.0 0.2 0.2,4.8
12,14.8 26.4 18.3,78.7,2.0 0.0 2.0,2.5
13,14.0 26.8 19.7,73.0,0.0 0.4 0.4,6.4
14,13.4 24.2 19.0,79.7,0.0 1.2 1.2,6.5
15,14.6 25.5 18.0,82.0,14.4 0.0 14.4,4.6
16,14.8 24.0 19.0,84.7,0.2 0.0 0.2,3.5
17,13.6 25.2 19.5,80.0,0.1 0.0 0.1,5.6
18,14.0 26.0 19.4,62.0,0.0 0.0 0.0,6.4
19,14.5 27.4 21.2,66.3,0.0 0.0 0.0,9.7
20,15.2 25.0 19.0,81.3,0.0 0.0 0.0,0.8
21,15.0 24.0 18.8,87.3,0.0 0.0 0.0,6.1
22,16.0 27.0 21.0,81.3,0.1 0.0 0.1,6.6
23,15.2 25.4 20.2,63.7,0.0 0.0 0.0,5.5
24,13.4 26.6 21.2,59.7,0.0 0.0 0.0,10.3
25,13.8 27.2 21.1,63.0,0.0 0.0 0.0,10.7
26,15.0 26.6 21.6,74.3,0.0 0.0 0.0,8.5
27,15.2 26.0 19.6,84.3,0.0 0.0 0.0,3.9
28,15.4 28.4 22.4,64.3,0.0 0.0 0.0,9.0
29,14.8 29.0 23.4,42.3,0.0 0.0 0.0,11.0
30,15.0 27.8 21.5,60.0,0.0 0.0 0.0,7.6
31,,,,
Total:,,,50.6 27.1 77.7,145.2
Promedio:,14.8 24.7 19.3,78.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.8 28.8 22.0,50.7,0.0 0.0 0.0,10.3
2,15.6 28.6 21.8,65.7,0.0 0.0 0.0,5.1
3,16.0 27.6 21.4,73.0,0.0 0.0 0.0,6.0
4,16.4 26.0 20.5,52.3,0.0 0.0 0.0,5.7
5,13.0 26.5 20.1,64.0,0.0 0.0 0.0,4.5
6,14.2 26.8 20.8,71.0,0.0 0.0 0.0,5.3
7,13.2 27.2 20.8,73.7,0.0 0.0 0.0,6.5
8,15.2 27.0 20.8,74.3,0.0 0.0 0.0,7.5
9,15.4 26.8 20.8,73.0,0.0 0.0 0.0,9.0
10,13.6 28.0 21.8,65.7,0.0 0.0 0.0,9.6
11,14.8 28.6 22.0,64.3,0.0 0.0 0.0,9.1
12,14.0 28.0 21.3,69.3,0.0 0.0 0.0,8.5
13,15.5 26.4 20.2,77.7,0.0 0.0 0.0,3.9
14,14.6 26.2 20.1,75.7,0.0 0.0 0.0,4.7
15,16.0 27.1 20.6,63.7,0.0 0.0 0.0,8.8
16,15.4 27.4 20.1,51.7,0.0 0.0 0.0,9.0
17,13.6 28.0 20.6,58.0,0.0 0.0 0.0,5.0
18,15.0 26.7 20.5,54.0,0.0 0.0 0.0,7.8
19,16.7 27.6 21.4,46.3,0.0 0.0 0.0,8.7
20,15.8 27.8 20.7,61.3,0.0 0.0 0.0,5.2
21,15.0 25.4 19.6,78.0,0.0 0.0 0.0,1.6
22,14.6 25.0 19.0,82.0,3.4 0.0 3.4,2.1
23,15.0 24.6 20.2,73.7,0.0 2.5 2.5,5.1
24,15.8 25.6 19.0,80.3,1.5 1.5 3.0,2.9
25,15.4 27.4 19.3,80.0,29.1 0.0 29.1,7.3
26,14.2 25.6 18.8,80.7,0.3 0.0 0.3,4.2
27,15.0 25.0 19.0,77.3,0.0 49.7 49.7,5.6
28,14.8 18.6 16.0,95.7,3.2 0.0 3.2,0.0
29,13.0 22.2 16.9,86.7,8.6 0.0 8.6,1.7
30,13.7 25.2 19.8,77.0,0.0 0.0 0.0,8.7
31,11.6 27.0 20.8,61.3,0.0 0.0 0.0,8.5
Total:,,,46.1 53.7 99.8,187.9
Promedio:,14.8 26.4 20.2,69.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Agosto,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.4 28.2 22.0,52.0,0.0 0.0 0.0,7.6
2,14.8 27.0 20.5,50.7,0.0 0.0 0.0,7.7
3,14.2 27.6 21.2,55.0,0.0 0.0 0.0,8.6
4,15.0 25.4 20.8,64.0,0.0 0.0 0.0,5.4
5,15.4 27.4 21.5,54.7,0.0 0.0 0.0,6.9
6,14.0 26.5 20.7,60.7,0.0 0.0 0.0,6.2
7,13.9 27.0 20.8,68.7,0.0 0.0 0.0,7.7
8,15.0 25.2 20.2,80.0,1.6 0.0 1.6,4.2
9,15.4 28.2 21.1,71.7,0.0 0.0 0.0,9.7
10,16.2 27.2 20.0,79.7,0.0 0.0 0.0,6.6
11,14.8 22.6 18.6,89.7,0.0 0.0 0.0,0.0
12,14.5 29.2 22.5,55.0,0.0 0.0 0.0,11.1
13,14.0 29.1 22.2,49.3,0.0 0.0 0.0,10.4
14,14.5 30.0 23.2,51.3,0.0 0.0 0.0,10.0
15,15.8 26.4 20.8,76.3,0.0 10.2 10.2,4.8
16,15.4 24.8 19.3,84.3,12.4 0.0 12.4,4.5
17,15.5 25.8 18.8,76.3,0.5 0.0 0.5,4.1
18,14.6 23.8 17.6,85.0,8.4 0.0 8.4,1.8
19,14.0 27.0 20.2,66.0,0.0 0.0 0.0,6.5
20,14.6 25.8 20.4,76.7,0.0 0.0 0.0,5.8
21,16.0 26.2 20.8,50.7,0.0 0.0 0.0,2.9
22,15.2 27.4 21.2,51.3,0.0 0.0 0.0,4.9
23,13.8 26.4 21.0,67.0,0.0 0.0 0.0,7.1
24,14.2 26.8 20.6,66.7,0.0 0.0 0.0,7.6
25,14.0 24.3 17.9,76.0,1.3 0.0 1.3,1.7
26,13.0 22.1 18.0,78.0,0.2 0.0 0.2,0.9
27,14.5 23.4 18.6,81.7,1.6 0.0 1.6,2.8
28,14.4 27.2 19.9,76.0,0.0 0.0 0.0,3.9
29,14.3 28.4 21.0,61.0,0.0 0.0 0.0,5.6
30,14.4 28.2 21.2,66.7,0.0 0.0 0.0,7.6
31,13.8 27.8 21.6,65.0,0.0 0.0 0.0,8.4
Total:,,,26.0 10.2 36.2,183.0
Promedio:,14.7 26.5 20.5,67.3,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.1 25.8 20.8,76.0,0.0 0.0 0.0,5.7
2,14.2 26.8 20.6,69.7,0.0 0.0 0.0,8.5
3,15.8 24.8 18.5,83.0,1.0 0.0 1.0,3.7
4,14.0 26.0 18.5,80.3,1.7 0.0 1.7,6.3
5,13.2 26.2 19.9,67.0,0.0 0.0 0.0,4.9
6,14.0 26.6 21.1,58.3,0.0 0.0 0.0,6.5
7,15.0 26.8 20.4,73.7,0.0 0.0 0.0,7.0
8,13.2 24.0 19.8,70.3,0.0 0.0 0.0,3.7
9,14.2 25.0 20.2,72.3,0.0 0.0 0.0,5.2
10,13.8 26.0 19.5,77.3,0.0 0.0 0.0,5.5
11,15.0 23.6 18.4,82.0,0.0 0.0 0.0,1.7
12,15.4 23.2 18.5,87.3,5.3 0.0 5.3,3.0
13,14.4 25.0 18.4,86.3,5.8 0.0 5.8,2.7
14,13.4 25.8 19.2,73.3,4.0 0.0 4.0,5.2
15,13.6 23.8 19.7,79.7,0.0 0.0 0.0,2.1
16,15.0 25.2 20.2,79.0,1.0 0.0 1.0,3.8
17,15.5 23.2 17.9,91.7,17.3 0.1 17.4,0.6
18,14.6 22.2 18.0,83.3,1.0 0.0 1.0,1.0
19,14.4 27.4 19.0,80.7,0.6 0.2 0.8,6.6
20,15.0 26.2 20.8,71.7,0.0 0.0 0.0,7.0
21,15.0 25.8 19.8,74.3,0.0 10.1 10.1,5.7
22,14.4 26.0 20.5,75.0,0.0 0.0 0.0,6.2
23,15.0 28.0 19.3,77.3,2.7 0.0 2.7,6.9
24,14.2 24.5 17.8,83.3,17.6 0.0 17.6,1.0
25,14.5 29.0 21.2,61.0,0.0 0.0 0.0,7.8
26,15.0 28.8 22.0,49.3,0.0 0.0 0.0,8.8
27,16.2 29.4 22.8,40.3,0.0 0.0 0.0,10.6
28,13.0 27.0 20.4,62.0,0.0 0.0 0.0,5.4
29,14.8 27.4 21.8,50.0,0.0 0.0 0.0,4.6
30,14.6 24.8 19.0,80.3,32.6 0.0 32.6,1.1
31,,,,
Total:,,,90.6 10.4 101.0,148.8
Promedio:,14.5 25.8 19.8,73.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.2 26.0 21.2,72.7,0.0 0.0 0.0,3.8
2,17.0 23.2 18.8,91.7,0.6 0.0 0.6,2.0
3,14.4 27.2 21.0,74.3,0.6 0.0 0.6,5.7
4,16.8 25.6 20.2,81.7,0.0 0.0 0.0,5.0
5,15.0 28.0 21.8,69.0,0.0 0.0 0.0,9.4
6,16.0 29.6 21.6,66.3,1.1 0.0 1.1,8.7
7,15.0 26.6 19.9,82.0,2.6 0.0 2.6,4.9
8,16.4 27.2 21.8,70.7,0.0 0.0 0.0,6.8
9,15.0 25.6 20.0,78.0,0.0 0.0 0.0,4.0
10,15.3 27.8 19.4,78.0,35.0 0.7 35.7,5.9
11,15.8 24.2 18.4,92.0,0.5 2.1 2.6,2.4
12,16.0 25.8 18.6,82.3,0.1 3.2 3.3,5.1
13,16.2 25.0 18.2,86.3,9.0 7.0 16.0,3.7
14,15.6 22.2 17.2,92.7,1.0 0.0 1.0,0.8
15,15.4 25.6 18.4,81.7,11.6 0.0 11.6,0.8
16,14.4 23.8 17.8,82.3,8.4 0.0 8.4,7.7
17,14.0 24.2 17.6,82.3,1.1 0.0 1.1,0.0
18,13.6 26.4 19.6,68.0,0.0 0.0 0.0,7.2
19,15.6 26.2 20.0,70.0,0.0 3.8 3.8,8.2
20,14.6 25.4 19.7,69.3,0.0 0.0 0.0,7.6
21,15.8 24.8 20.0,68.0,0.0 0.0 0.0,4.5
22,15.0 23.0 19.8,70.3,0.0 0.0 0.0,2.8
23,15.6 22.2 18.1,83.3,4.3 0.0 4.3,0.5
24,14.2 26.4 20.7,73.0,0.0 0.0 0.0,9.0
25,15.5 26.0 20.0,81.3,1.0 0.0 1.0,8.5
26,15.6 24.4 18.6,84.7,2.1 0.2 2.3,3.2
27,15.8 25.0 19.7,80.7,0.4 7.8 8.2,5.4
28,16.0 23.2 18.7,87.3,6.3 0.0 6.3,2.0
29,15.8 25.6 18.8,83.0,0.3 30.6 30.9,4.5
30,16.0 21.1 17.5,90.0,0.0 0.0 0.0,0.3
31,15.4 25.4 19.4,81.7,0.0 4.4 4.4,5.1
Total:,,,86.0 59.8 145.8,145.5
Promedio:,15.4 25.2 19.4,79.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Noviembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.4 23.0 17.8,84.7,4.1 0.0 4.1,0.6
2,15.2 24.8 18.7,84.0,4.2 0.0 4.2,4.9
3,16.0 25.4 19.8,78.7,0.0 0.0 0.0,4.0
4,16.2 26.2 19.8,77.7,0.0 0.0 0.0,5.2
5,15.9 23.0 17.8,91.3,6.1 0.6 6.7,0.5
6,13.8 24.0 19.0,85.3,1.0 9.6 10.6,5.3
7,15.5 23.6 18.7,83.7,1.8 34.8 36.6,1.9
8,15.2 22.6 17.4,89.7,3.2 4.8 8.0,0.7
9,15.0 24.0 18.7,82.0,0.0 0.0 0.0,3.9
10,16.0 24.3 19.5,78.7,0.0 0.0 0.0,2.7
11,15.2 22.4 17.0,95.0,58.5 0.0 58.5,0.4
12,15.0 21.6 17.2,92.3,3.4 1.5 4.9,0.4
13,14.2 23.8 18.4,85.7,0.6 21.3 21.9,1.3
14,14.8 22.2 16.8,91.7,7.5 0.2 7.7,0.8
15,14.5 19.6 16.8,90.3,0.0 0.0 0.0,0.0
16,15.0 24.4 18.9,77.0,0.0 0.0 0.0,6.6
17,15.4 24.8 19.2,82.3,0.0 0.0 0.0,4.1
18,16.2 23.2 18.0,82.3,1.0 0.7 1.7,2.4
19,14.2 25.0 20.1,74.7,0.0 1.9 1.9,7.7
20,15.2 23.0 17.8,81.3,1.1 0.0 1.1,5.8
21,15.0 25.0 18.6,82.3,1.2 6.5 7.7,1.4
22,15.8 24.0 18.2,87.3,13.1 2.6 15.7,2.4
23,14.8 24.0 18.6,86.0,1.6 7.4 9.0,5.6
24,15.5 22.7 17.8,97.3,7.7 0.0 7.7,1.8
25,15.2 24.5 18.2,91.3,1.0 0.1 1.1,3.6
26,16.4 25.0 19.6,84.7,0.3 0.0 0.3,4.0
