Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
24,16.5 24.8 20.0,79.3,0.4 0.4 0.8,1.0
25,17.2 26.2 21.1,81.7,4.9 30.5 35.4,0.5
26,16.4 27.0 21.1,74.7,0.3 1.9 2.2,4.3
27,18.6 28.3 22.3,71.7,1.0 0.0 1.0,4.7
28,18.0 31.2 23.0,65.7,0.0 0.0 0.0,7.4
29,16.2 32.0 23.0,66.7,0.0 0.2 0.2,8.1
30,18.5 30.6 23.6,66.7,0.0 27.8 27.8,6.2
31,16.6 28.8 21.4,76.7,0.0 3.9 3.9,6.5
Total:,,,19.2 258.1 277.3,159.1
Promedio:,17.6 28.7 22.1,72.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,18.5 29.0 22.8,70.3,0.0 2.8 2.8,6.9
2,18.8 26.4 22.5,75.0,0.0 0.0 0.0,1.2
3,19.0 30.2 23.3,69.3,0.0 0.1 0.1,5.6
4,18.0 25.8 21.0,81.0,0.0 1.6 1.6,1.3
5,17.2 26.6 21.1,75.0,0.0 0.0 0.0,1.8
6,16.6 28.6 22.3,69.7,0.0 36.7 36.7,8.2
7,17.8 27.2 21.1,80.3,1.0 20.2 21.2,2.5
8,16.8 30.6 22.6,72.7,0.0 32.1 32.1,8.0
9,16.6 28.6 20.4,78.0,21.7 0.0 21.7,4.3
10,15.0 29.0 21.9,71.0,0.0 0.8 0.8,6.6
11,17.9 29.8 22.5,67.3,0.1 7.5 7.6,7.4
12,16.6 21.6 19.1,88.3,0.6 0.0 0.6,0.0
13,16.5 28.2 19.8,78.7,3.9 7.3 11.2,5.1
14,17.0 25.5 20.6,78.7,0.2 0.0 0.2,3.9
15,16.4 29.6 22.4,66.3,0.0 0.3 0.3,9.1
16,18.6 30.8 23.3,67.3,0.0 16.0 16.0,10.7
17,17.6 28.6 22.0,75.3,0.1 8.8 8.9,6.2
18,17.8 27.6 21.0,78.7,2.6 2.7 5.3,3.9
19,17.5 29.0 22.2,76.0,0.0 5.9 5.9,5.9
20,18.0 30.6 23.2,68.0,0.0 33.6 33.6,8.3
21,16.3 28.8 22.4,74.7,0.0 0.0 0.0,4.9
22,17.2 31.3 23.2,67.7,0.0 0.8 0.8,8.1
23,18.2 22.0 19.8,90.3,2.8 0.4 3.2,0.0
24,17.4 28.2 21.6,75.0,0.1 25.4 25.5,5.5
25,17.0 27.2 21.3,79.0,0.0 17.7 17.7,3.8
26,17.3 24.2 19.7,86.3,1.5 0.0 1.5,1.5
27,17.2 29.1 22.6,72.3,0.0 9.0 9.0,6.4
28,18.0 27.6 21.9,75.7,1.6 0.6 2.2,5.6
29,18.2 26.8 22.4,76.7,0.0 26.6 26.6,0.2
30,17.8 28.5 21.7,75.0,0.0 23.9 23.9,6.6
31,,,,
Total:,,,36.2 280.8 317.0,149.5
Promedio:,17.4 27.9 21.7,75.3,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 29.6 22.8,72.7,0.0 31.7 31.7,4.9
2,15.0 27.0 21.5,72.7,0.2 0.0 0.2,3.3
3,18.4 29.8 22.3,74.7,0.0 27.7 27.7,6.1
4,18.2 28.8 22.7,70.0,0.0 2.1 2.1,5.4
5,18.5 26.7 21.6,80.3,0.0 22.5 22.5,1.8
6,17.8 27.2 20.4,82.3,11.1 1.9 13.0,1.8
7,17.2 26.8 21.0,75.7,2.2 30.9 33.1,3.9
8,17.0 28.4 22.1,74.7,0.0 33.7 33.7,4.2
9,17.4 24.8 20.8,82.3,0.0 32.3 32.3,0.1
10,17.7 27.4 21.6,78.7,1.0 8.8 9.8,2.1
11,17.5 27.0 21.4,78.7,1.6 0.1 1.7,3.0
12,16.8 28.2 20.4,78.3,10.7 0.0 10.7,4.1
13,17.0 28.9 21.6,77.7,0.4 0.0 0.4,6.4
14,16.5 31.4 22.4,67.0,0.0 0.0 0.0,8.3
15,17.6 30.1 23.0,75.0,0.0 2.7 2.7,7.9
16,18.2 29.0 22.3,76.3,0.1 18.4 18.5,5.2
17,17.8 26.6 20.5,85.7,1.2 0.0 1.2,2.4
18,18.3 30.7 22.8,72.7,0.0 26.1 26.1,6.2
19,17.6 23.2 19.3,87.7,20.3 0.0 20.3,0.3
20,15.0 29.6 22.5,71.3,0.6 13.8 14.4,9.2
21,18.0 27.2 22.1,74.7,0.0 7.2 7.2,8.4
22,19.2 30.6 22.6,71.7,6.3 0.0 6.3,7.3
23,18.0 31.0 23.0,63.0,0.0 0.0 0.0,8.8
24,17.3 29.6 22.0,74.7,20.3 1.7 22.0,4.9
25,17.6 30.8 21.7,71.3,1.0 1.8 2.8,8.3
26,18.2 28.2 22.3,77.0,0.0 0.8 0.8,6.7
27,18.6 30.2 22.7,72.0,0.0 9.9 9.9,6.8
28,17.3 29.1 21.8,75.3,0.0 14.0 14.0,4.5
29,18.4 26.2 20.1,83.7,11.3 0.0 11.3,3.5
30,16.8 30.0 22.9,71.3,0.0 1.0 1.0,7.1
31,18.5 29.0 23.4,74.3,0.0 12.3 12.3,5.2
Total:,,,88.3 301.4 389.7,158.1
Promedio:,17.6 28.5 21.9,75.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 26.5 21.1,82.0,1.0 51.6 52.6,1.1
2,16.2 28.8 21.0,75.7,0.3 38.7 39.0,8.4
3,17.5 26.8 20.2,78.7,1.1 6.2 7.3,1.1
4,17.3 27.8 21.2,77.3,4.0 18.3 22.3,3.9
5,17.2 26.8 20.9,76.7,3.8 1.6 5.4,5.3
6,17.0 25.9 20.9,82.0,0.9 11.5 12.4,3.1
7,17.5 25.0 19.8,89.3,0.8 20.3 21.1,1.0
8,17.4 27.0 21.2,78.7,0.0 5.1 5.1,5.2
9,17.0 26.8 21.0,77.0,1.1 1.8 2.9,5.1
10,17.3 26.2 19.4,82.3,2.9 0.3 3.2,2.0
11,17.6 28.0 22.0,75.0,0.4 7.3 7.7,6.1
12,16.5 28.6 21.7,72.0,0.0 1.0 1.0,8.5
13,17.5 27.6 22.0,69.0,3.5 9.1 12.6,3.9
14,16.4 28.6 21.4,71.7,0.0 7.7 7.7,7.7
15,16.0 28.9 21.5,73.7,0.0 11.9 11.9,5.9
16,17.5 28.7 22.0,71.3,0.0 0.7 0.7,6.2
17,16.2 29.1 21.9,71.7,0.7 3.3 4.0,5.5
18,18.2 30.7 23.0,72.0,0.7 0.1 0.8,7.0
19,17.0 31.1 22.6,69.0,0.0 37.2 37.2,8.6
20,15.4 27.0 21.4,76.7,0.6 0.0 0.6,7.8
21,17.0 24.2 20.4,86.7,1.8 0.0 1.8,1.1
22,15.6 30.7 22.6,66.0,0.0 0.0 0.0,8.3
23,16.8 30.0 23.0,70.3,0.0 0.0 0.0,8.3
24,18.0 28.6 22.2,68.3,0.0 0.0 0.0,4.7
25,16.2 30.2 23.0,70.0,0.0 0.0 0.0,7.8
26,19.5 31.0 23.9,68.0,0.0 0.7 0.7,7.8
27,18.0 29.6 23.4,71.3,0.0 0.0 0.0,4.9
28,17.6 29.2 22.6,64.7,0.0 0.0 0.0,4.1
29,16.0 31.2 23.4,60.7,0.0 0.0 0.0,9.4
30,16.2 31.6 23.4,59.7,0.0 0.0 0.0,7.9
31,,,,
Total:,,,23.6 234.4 258.0,167.7
Promedio:,17.0 28.4 21.8,73.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.0 31.6 23.8,57.0,0.0 0.0 0.0,8.7
